GreedyTranslation,HYPOTHESIS SCORE,REF SCORE
"Hallo , ich möchte bei Bella Luna eine Abholbestellung für zwei mittelgroße Pizzen aufgeben . Eine mit Hühnchen Barbecue und die andere mit Peperoni und wenn möglich möchte ich , dass beide eine dicke Kruste haben .",6.211389933270192e+63,0
"Sicher , lassen Sie mich bestätigen , dass ich das richtig verstanden habe . Sie sagten 2 mittelgroße Pizzen beide mit dicker Kruste .",1.0496848440352313e+63,0
", eine mit Grillhähnchen und eine mit Peperoni .",9.814011786431456e+60,-1.304604825682055e+172
Ihre Pizzen werden innerhalb von 50 Minuten geliefert und Sie finden die Details in Ihrer Quittung .,3.3028652769120856e+61,0
Es wird Ihnen zugesandt .,3.2750154564618564e+61,-4.573011902177926e+46
"Toll , ich habe den Termin für Montag gebucht . Bitte geben Sie Ihr Auto vor 8 : 30 Uhr ab .",6.110524180962599e+61,0
Könnten Sie mir die Wegbeschreibung geben ?,5.495241181242347e+61,-3.71099240779363e+193
"Sicher , ich werde sie Ihnen jetzt geben .",5.0972489173479435e+61,-3.847653025200995e+135
*,2.4736017950237663e+63,-4431473671851.605
"Toll , ich habe die Tickets für Sie gekauft .",1.1064090209646093e+61,-3.601797266639281e+175
Die Tickets werden in Kürze an Ihr Telefon gesendet .,3.9546560428972004e+61,-4.0808161993372164e+120
*,2.4736017950237663e+63,-4431473671851.605
. Wie wäre es mit einem Cafe Mocha mit Schlagsahne ?,2.139137192886161e+61,3.8367107984127125e+306
Leider ist es ausverkauft .,2.7082338285161596e+61,1.8305178784828276e+68
*,2.4736017950237663e+63,-4431473671851.605
"Hallo , was kann ich heute für Sie tun ?",2.055710479417776e+61,-2.1278080840346117e+149
". Hey , ich bin in Sacramento , Kalifornien und suche italienische Restaurants .",1.3784430252250229e+61,-0
Es gibt ein besonders gutes in Ihrer Nähe .,5.4694031678563986e+60,1.9034707487306307e+143
*,2.4736017950237663e+63,-4431473671851.605
. Ich habe ein Problem mit meinem Auto .,3.195962435854811e+61,7.149498093988029e+105
Was ist das Problem mit dem Auto ?,3.589062405272144e+61,-3.5270488952650037e+75
