GreedyTranslation,HYPOTHESIS SCORE,REF SCORE
"Natürlich , lassen Sie mich bestätigen , dass ich das korrekt notiert habe . Sie haben 2 mittelgroße Pizzen mit dicker Kruste gesagt .",7.999854419040827e+36,-0
Eine mit BBQ Chicken und eine mit Peperoni .,6.490044550988392e+33,-2.734043967919232e+81
Ihre Pizzen werden innerhalb von 50 Minuten geliefert und Sie werden die Details in Ihrer Quittung finden .,2.3306046870530364e+36,2.1741409885634746e+303
Es wird Ihnen zugesandt .,2.9204293525601816e+34,-1226004928.1771686
"Super , ich habe den Termin für Montag gebucht . Bitte geben Sie Ihr Auto vor 8 : 30 Uhr ab .",3.885533632085571e+35,-0
"Klar , ich werde sie jetzt an Sie geben .",1.0657239289442802e+34,-1.2472316093460015e+83
"Super , ich habe die Tickets für Sie gekauft .",6.559772513637238e+33,-2.914485153300125e+97
Die Tickets werden in Kürze an Ihr Telefon gesendet .,9.286850575396467e+33,2.7974435930185065e+65
Leider ist es ausverkauft .,4.9918550750279814e+32,5.923499930804894e+33
"Hallo , was kann ich heute für Sie tun ?",2.0010917920453954e+34,-4.1836541712609205e+84
Es gibt ein besonders gutes in Ihrer Nähe .,5.653355999285509e+33,-2.049987716137262e+91
Was ist das Problem mit dem Auto ?,4.667376162611992e+34,8.898986376754694e+30
"und wissen Sie , wo die Werkstatt ist ?",1.087315337765321e+34,-3.38447077590358e+41
Es ist eine Meilen North of City Center .,7.237842965789477e+33,-3.0312935180759187e+91
Robert Rodriguez hat es gedreht .,3.5764810298983897e+34,-1.86785850001464e+48
Robert Rodriguez hat es gedreht .,3.5764810298983897e+34,-1.86785850001464e+48
"Hallo , wie kann ich Ihnen helfen ?",1.8698911768663989e+33,7.617952748979252e+55
"ok , lassen Sie mich ein Kino in Ihrer Nähe finden .",8.001745795534818e+34,1.5005854278023646e+114
Bevorzugen Sie eine bestimmte Vorliebe im Kino ?,1.1397628844439244e+35,-1.4163927305122113e+40
"Okay , die nächste verfügbare Zeit , die ich gefunden habe , ist in SilverCity Windsor Cinemas um 18 : 40 Uhr .",1.8778289729862426e+37,-0
"Okay , wie viele Tickets ?",1.4101905598489072e+33,-4.019306659838822e+42
Die Summe für ein Ticket beträgt $ 14.33 .,1.3248801807462285e+34,-5.1058765579690456e+75
"Ok , es ist 13 : 50 . Wie viele Tickets brauchen Sie ?",3.581372726114434e+34,-2.1751593294243805e+157
Gut . Es gibt noch eine .,2.785166558536762e+33,1.3187874431425573e+27
"Als erstes habe ich den Buckhorn Grill gefunden , eine familienfreundliche Kette mit einer Bewertung von 4,4 Sternen , die große Portionen Steaks , Sandwiches , Burger & andere amerikanische Gerichte anbietet . Dann gibt es noch das Mulvaney ' s B & L , das ein bisschen hochwertiger ist , aber eine 4,7-Sterne-Bewertung hat und New American Fare in einer umgebauten Feuerwehrwache anbietet .",2.8885540771080422e+103,-0
"Es gibt noch eins , das Broderick Roadhouse , Ihr klassischer Roadhouse Hamburger Ort mit 4,4 Sternen .",4.0283665567747505e+95,-0
"Natürlich , welchen Film wollten Sie sehen ?",8.517977501741894e+92,1.4327281832593763e+63
Und in welchem Kino wollten Sie es sehen ?,7.383393120235352e+90,-7.0278989794355e+60
"Großartig , haben Sie eine bevorzugte Zeit ?",1.5979543052232539e+90,-1.410448330413975e+90
Es ist um 14 : 40 Uhr . Funktioniert das für Sie ?,2.6002057599209164e+87,-4.882823606752784e+101
"Es tut mir leid , dass die Vorstellung ausverkauft ist . Soll ich eine andere auswählen oder die Bestellung stornieren ?",3.0984488628505536e+91,-0
Ich habe es storniert .,1.184913966545445e+93,3.1438167073610655e+37
"Es tut mir leid , dass die Vorstellung ausverkauft ist . Soll ich eine andere auswählen oder die Bestellung stornieren ?",3.0984488628505536e+91,-0
Ich habe es storniert .,1.184913966545445e+93,3.1438167073610655e+37
Es ist um 16 : 15 Uhr ! Passt Ihnen das ?,6.013900966280841e+93,3.477217870745843e+158
"Ja , Sie sind fertig und Sie erhalten es per Handy .",5.083091961238826e+88,3.2469900260259427e+78
ok und welche Art von Essen möchten Sie ?,2.1474670601484625e+91,-7.972589616833112e+44
"Sicher , e0ache , herzliches Essen .",1.8784958755319645e+91,-1.6726845433587528e+58
Lassen Sie mich es sofort an Sie senden .,1.0575098864709248e+91,-6.11788370953144e+39
Es gibt eine Gebühr von 89 $ für die Inspektion in diesem Shop .,2.5690421482917015e+91,8.433384950487222e+126
"Sind Sie damit einverstanden , es zu bezahlen ?",3.324669803754213e+89,10699853144.255774
Großartig . Und welche Art von Fahrt wollten Sie Uber oder Lyft ?,7.190795597544646e+90,4.651835322067398e+188
Für wie viele Leute ist es ?,3.293440137208692e+87,-2.2843073614108904e+46
Großartig . Und welche Art von Fahrt wollten Sie Uber oder Lyft ?,7.190795597544646e+90,4.651835322067398e+188
Für wie viele Leute ist es ?,3.293440137208692e+87,-2.2843073614108904e+46
Es gibt keine andere Option .,3.332415747788138e+91,-7.896763819971168e+41
Es gibt nur eins .,9.119334891398466e+92,-1.0130832160197856e+105
"Ok , bitte beachten Sie , dass das Trinkgeld für den Fahrer nicht enthält .",4.840487322494833e+31,-0
"Ja , das ist mehr als großartig .",7.12470276184199e+30,1.2850116577309897e+281
Können Sie bitte ihren Namen wiederholen ?,7.748203066384365e+29,6.829527307407057e+109
Es wird von Rebel Wilson gespielt .,1.955857778596958e+31,1.9790455928599847e+191
Es wird von Rebel Wilson gespielt .,1.955857778596958e+31,1.9790455928599847e+191
Wo ist der Abgabeort ?,1.1891081873174137e+30,-3.917114366627892e+108
Ich kann es nicht in unser System finden .,1.2371989668333855e+30,3.0800114522742314e+174
"Das einzige , das jetzt zeigt , ist Aquaman .",2.7333194236867425e+31,9.516786658098927e+275
"Das einzige , das jetzt zeigt , ist Aquaman .",2.7333194236867425e+31,9.516786658098927e+275
"Gibt es noch andere Kriterien , die für Sie wichtig sind ?",7.827949251049402e+31,4.1340645275741444e+201
"Ok , Sie wollen eins , das erschwinglich ist .",1.867435578525272e+31,-0
"Ok , Sie wollen eines , das lässig ist .",1.2774682282497009e+31,-5.148887879688534e+273
"Ok , Sie wollen eines , das lässig ist .",1.2774682282497009e+31,-5.148887879688534e+273
"Ok , Sie wollen eines , das lässig ist .",1.2774682282497009e+31,-0
"Ok , Sie wollen eines , das lässig ist .",1.2774682282497009e+31,-0
"Ja , ich habe noch eine .",9.123326167458967e+30,8.41426844307934e+182
"Ok , das ist außerhalb der Stadtgrenzen und es gibt eine zusätzliche Gebühr .",1.3923488798748136e+31,0
"Ok , das ist außerhalb der Stadtgrenzen und es gibt eine zusätzliche Gebühr .",1.3923488798748136e+31,0
Was möchten Sie bestellen ?,7.908996024151754e+30,-2.637026939373832e+136
Es kostet 2 $ pro Pizza .,3.5098149420563646e+30,-2.0375672836733885e+107
Was möchten Sie bestellen ?,7.908996024151754e+30,-2.637026939373832e+136
Es kostet 2 $ pro Pizza .,3.5098149420563646e+30,-2.0375672836733885e+107
"Sie erhalten eine Benachrichtigung , wenn der Fahrer auf dem Weg ist , um Sie abzuholen .",1.3690584990973077e+33,0
Sie haben es schon verstanden ?,1.8075740874062615e+29,4.202295009877957e+123
"Sie erhalten eine Benachrichtigung , wenn der Fahrer auf dem Weg ist , um Sie abzuholen .",1.3690584990973077e+33,0
Sie haben es schon verstanden ?,1.8075740874062615e+29,4.202295009877957e+123
"Super , können Sie mir bitte das Jahr Ihres Autos mitteilen ?",2.284598905768491e+31,-0
"Okay , Sie können es mir später mitteilen .",5.0379869415886407e+30,-2.4557317206272773e+247
"Super , können Sie mir bitte das Jahr Ihres Autos mitteilen ?",2.284598905768491e+31,-0
"Okay , Sie können es mir später mitteilen .",5.0379869415886407e+30,-2.4557317206272773e+247
Wann passt es für Sie ?,6.114588084140598e+29,2.42522630891406e+111
Wann passt es für Sie ?,6.114588084140598e+29,2.42522630891406e+111
Wie kann ich Ihnen heute helfen ?,5.2658934171354365e+29,-1.066310388268359e+117
Dieser Film ist überlaufen .,2.220574674282796e+30,-1.9549214595281623e+92
"Ich habe zwei Optionen gefunden . Die erste ist ein italienisches Restaurant und die zweite ist Mexikanisch , beide mit Sitzgelegenheiten im Freien .",6.85725516712315e+33,0
Die Angebote im mexikanischen Restaurant können heiß sein .,1.580070625587457e+32,4.2315006290234725e+204
Wie kann ich helfen ?,2.4391347463468903e+29,-1.4237359722521807e+80
Sie sollten gut sein .,3.0902616010748802e+29,-2.0607392831989525e+62
Wie kann ich helfen ?,2.4391347463468903e+29,-1.4237359722521807e+80
Sie sollten gut sein .,3.0902616010748802e+29,-2.0607392831989525e+62
Wie kann ich helfen ?,2.4391347463468903e+29,-1.4237359722521807e+80
Sie sollten gut sein .,3.0902616010748802e+29,-2.0607392831989525e+62
Ja . Es ist schön für Kinder .,3.6452095038393336e+29,-6.454133444744811e+146
"Großartig , Sie können es an der Theke abholen .",1.1225535421391086e+31,-7.597233547552555e+273
"Ja , es hat gute Kritiken .",1.1605825890968432e+31,-9.149989264104942e+148
"Ja , es hat gute Kritiken .",1.1605825890968432e+31,-9.149989264104942e+148
Womit kann ich Ihnen behilflich sein ?,4.593043407356023e+30,-1.6005879680473602e+105
Natürlich kann ich Ihnen dabei helfen .,3.961116819879104e+29,-1.327046355315141e+184
Wir sind draußen .,7.702803648714149e+29,-2.2483624973187724e+55
Wir sind draußen .,7.702803648714149e+29,-7.517437978731575e+79
Hier . Genießen Sie es .,6.262561835979584e+29,-3.7137742761390934e+150
