num_heads_enc: 16	num_heads_dec: 8	dropout: 0.3	hidden_size_enc: 256	hidden_size_dec: 256	batch_size: 512
Steps: 200	Loss: 30245.27539	PPL: 112.82346	bleu: 0.00000	LR: 0.00020000	*
Steps: 400	Loss: 27135.72656	PPL: 69.40489	bleu: 1.67021	LR: 0.00020000	*
Steps: 600	Loss: 24301.96484	PPL: 44.57539	bleu: 3.56933	LR: 0.00020000	*
Steps: 800	Loss: 22642.67383	PPL: 34.39522	bleu: 5.93429	LR: 0.00020000	*
Steps: 1000	Loss: 20946.71094	PPL: 26.38837	bleu: 11.76262	LR: 0.00020000	*
Steps: 1200	Loss: 20144.11133	PPL: 23.27820	bleu: 11.06700	LR: 0.00020000	*
Steps: 1400	Loss: 19001.29297	PPL: 19.47150	bleu: 15.70057	LR: 0.00020000	*
Steps: 1600	Loss: 18443.61133	PPL: 17.84662	bleu: 15.92680	LR: 0.00020000	*
Steps: 1800	Loss: 17945.98047	PPL: 16.51154	bleu: 15.69871	LR: 0.00020000	*
Steps: 2000	Loss: 17435.97656	PPL: 15.24682	bleu: 20.49613	LR: 0.00020000	*
Steps: 2200	Loss: 17108.94336	PPL: 14.48730	bleu: 23.34768	LR: 0.00020000	*
Steps: 2400	Loss: 16846.05273	PPL: 13.90427	bleu: 22.23410	LR: 0.00020000	*
Steps: 2600	Loss: 16714.01562	PPL: 13.62035	bleu: 22.87565	LR: 0.00020000	*
Steps: 2800	Loss: 16569.64062	PPL: 13.31653	bleu: 24.91429	LR: 0.00020000	*
Steps: 3000	Loss: 16491.92773	PPL: 13.15581	bleu: 25.51636	LR: 0.00020000	*
Steps: 3200	Loss: 16552.19922	PPL: 13.28029	bleu: 24.20067	LR: 0.00020000	
Steps: 3400	Loss: 16613.57422	PPL: 13.40826	bleu: 25.29568	LR: 0.00020000	
Steps: 3600	Loss: 16608.96484	PPL: 13.39861	bleu: 26.49588	LR: 0.00020000	
